nsb,periode,pakai,tahun,bulan,pakai_original,pakai_normalized,cluster,year,month,Cluster,lat,lon
104433255,2015-04-01,2.125,2015,4,0,0.0059523809523809,2,2015,4,2,-7.7322503285846995,109.0205
104433255,2015-05-01,2.125,2015,5,0,0.0059523809523809,2,2015,5,2,-7.732313826430118,109.02050018545994
104433255,2015-06-01,2.125,2015,6,0,0.0059523809523809,2,2015,6,2,-7.73223523114619,109.02050037091988
104433255,2015-07-01,2.125,2015,7,0,0.0059523809523809,2,2015,7,2,-7.7321476970143594,109.02050055637983
104433255,2015-08-01,2.125,2015,8,0,0.0059523809523809,2,2015,8,2,-7.732323415337473,109.02050074183977
104433255,2015-09-01,2.125,2015,9,0,0.0059523809523809,2,2015,9,2,-7.7323234136956955,109.02050092729971
104433255,2015-10-01,2.125,2015,10,0,0.0059523809523809,2,2015,10,2,-7.73214207871845,109.02050111275965
104433255,2015-11-01,2.125,2015,11,0,0.0059523809523809,2,2015,11,2,-7.732223256527085,109.02050129821959
104433255,2015-12-01,2.0,2015,12,2,0.0052910052910052,2,2015,12,2,-7.732346947438594,109.02050148367952
104433255,2016-01-01,9.0,2016,1,9,0.0423280423280423,2,2016,1,2,-7.732245743995642,109.02050166913946
104433255,2016-02-01,11.0,2016,2,11,0.0529100529100529,2,2016,2,2,-7.732346341769282,109.0205018545994
104433255,2016-03-01,9.0,2016,3,9,0.0423280423280423,2,2016,3,2,-7.7323465729753575,109.02050204005934
104433255,2016-04-01,2.0,2016,4,2,0.0052910052910052,2,2016,4,2,-7.732275803772843,109.0205022255193
104433255,2016-05-01,1.0,2016,5,1,0.0,2,2016,5,2,-7.732491328024466,109.02050241097923
104433255,2016-06-01,1.0,2016,6,1,0.0,2,2016,6,2,-7.732472491783252,109.02050259643917
104433255,2016-07-01,7.0,2016,7,7,0.0317460317460317,2,2016,7,2,-7.732356228752924,109.02050278189911
104433255,2016-08-01,1.0,2016,8,1,0.0,2,2016,8,2,-7.732401283112034,109.02050296735905
104433255,2016-09-01,1.0,2016,9,1,0.0,2,2016,9,2,-7.732268575266741,109.02050315281899
104433255,2016-10-01,2.125,2016,10,0,0.0059523809523809,2,2016,10,2,-7.7323908024075525,109.02050333827893
104433255,2016-11-01,1.0,2016,11,1,0.0,2,2016,11,2,-7.732441230370134,109.02050352373887
104433255,2016-12-01,1.0,2016,12,1,0.0,2,2016,12,2,-7.7321534351231085,109.02050370919882
104433255,2017-01-01,2.125,2017,1,0,0.0059523809523809,2,2017,1,2,-7.7323225776300495,109.02050389465876
