nsb,mean_pakai,std_pakai,max_pakai,cluster,dist_to_centroid,anomaly,kategori_pelanggan,latitude,longitude
0104433255,0.7906976744186046,1.7215292012329253,11.0,2,0.20031769756280057,False,Konsumsi Rendah,-7.7023866999313215,109.0157542305646
0104433256,25.234848484848484,9.269386409269424,43.0,0,0.1751236918020693,False,Konsumsi Tinggi,-7.702536853352064,109.01566510084491
0104433257,8.4,6.992354628865297,35.0,2,0.1361431722550339,False,Konsumsi Rendah,-7.7023543138924015,109.01566807183556
0104433258,11.219696969696969,8.632721695788492,42.0,1,0.2369736122627917,False,Konsumsi Sedang,-7.7025015231401985,109.01557300013458
0104433259,17.56390977443609,9.228047975945024,32.0,1,0.1966986244041767,False,Konsumsi Sedang,-7.70231898366532,109.01559379706916
0104433260,8.007518796992482,11.55782316756706,51.0,1,0.19332705588260424,False,Konsumsi Sedang,-7.702460304555971,109.01549278338685
0104433261,13.147286821705427,11.314468596111928,50.0,1,0.09404063091398503,False,Konsumsi Sedang,-7.702295430178973,109.01552546428408
0104433262,18.389312977099237,15.894639889493453,190.0,1,0.17334399431789857,False,Konsumsi Sedang,-7.702430862707642,109.0154214796111
0104433263,11.300751879699249,9.844999470894315,38.0,1,0.18201932913335728,False,Konsumsi Sedang,-7.702265988319179,109.015448218527
0104433264,6.876923076923077,11.68183867378071,55.0,1,0.21893526228043683,False,Konsumsi Sedang,-7.7024014208572735,109.01535017583537
0104433265,28.518796992481203,10.770752698550098,48.0,0,0.27873387969127394,False,Konsumsi Tinggi,-7.702233602271046,109.0153739437606
0104433266,13.5703125,11.98731849188901,61.0,1,0.059952622687899276,False,Konsumsi Sedang,-7.702380811560791,109.01526995908765
0104433268,3.2231404958677685,5.53547288450557,49.0,2,0.03206546667794353,False,Konsumsi Rendah,-7.702344935359997,109.01519059318076
0104433269,24.36111111111111,5.662673663197714,38.0,0,0.0334335792054333,False,Konsumsi Tinggi,-7.702172866305961,109.01521866515957
0104433270,18.813953488372093,12.630424231951586,50.0,1,0.09819722489536264,False,Konsumsi Sedang,-7.70231898366532,109.01511546757348
0104433271,23.795454545454547,5.1374075447019845,38.0,0,0.04400044046952842,False,Konsumsi Tinggi,-7.702147674883631,109.01514268871144
0104433272,3.434108527131783,4.831286321403427,19.0,2,0.031786213689376744,False,Konsumsi Rendah,-7.702283653435303,109.0150387677924
0104433273,11.203252032520325,20.05482622491077,61.0,1,0.3733225749661055,True,Konsumsi Sedang,-7.702115074519008,109.01506301793964
